# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
350           	((1.413028e+02 -8.855116e+00 -6.269526e+00) (7.200339e+00 -1.653238e-01 -6.361672e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.619882e+00 1.896677e+02 3.603337e+00) (7.281804e-02 7.418814e+00 -4.097592e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
351           	((1.412571e+02 -9.075371e+00 -6.282883e+00) (7.209269e+00 -1.699278e-01 -6.364815e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.862015e+00 1.896438e+02 3.686862e+00) (7.647515e-02 7.425489e+00 -4.033935e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
352           	((1.412128e+02 -9.369855e+00 -6.323008e+00) (7.218175e+00 -1.746917e-01 -6.366449e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.016611e+01 1.895985e+02 3.796415e+00) (8.038240e-02 7.432209e+00 -3.965073e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
353           	((1.411549e+02 -9.760981e+00 -6.403648e+00) (7.226910e+00 -1.796187e-01 -6.365916e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.055270e+01 1.895111e+02 3.933398e+00) (8.453296e-02 7.438874e+00 -3.886858e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
354           	((1.410440e+02 -1.024552e+01 -6.548670e+00) (7.235577e+00 -1.846940e-01 -6.364124e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.101886e+01 1.893396e+02 4.095181e+00) (8.890699e-02 7.445576e+00 -3.797449e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
355           	((1.408419e+02 -1.082858e+01 -6.776708e+00) (7.244189e+00 -1.897810e-01 -6.360958e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.157021e+01 1.890362e+02 4.280645e+00) (9.336927e-02 7.452332e+00 -3.699773e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
356           	((1.405565e+02 -1.147196e+01 -7.073837e+00) (7.252767e+00 -1.948600e-01 -6.355915e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.217583e+01 1.886247e+02 4.479350e+00) (9.787888e-02 7.459150e+00 -3.590616e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
357           	((1.401934e+02 -1.214624e+01 -7.437206e+00) (7.261304e+00 -1.998783e-01 -6.348888e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.281089e+01 1.881187e+02 4.684178e+00) (1.023551e-01 7.466010e+00 -3.474038e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
358           	((1.397645e+02 -1.282001e+01 -7.841474e+00) (7.269697e+00 -2.047868e-01 -6.339795e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.344896e+01 1.875426e+02 4.887265e+00) (1.067379e-01 7.472816e+00 -3.349019e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
359           	((1.393030e+02 -1.346571e+01 -8.251169e+00) (7.277743e+00 -2.095048e-01 -6.328268e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.406461e+01 1.869417e+02 5.083792e+00) (1.109436e-01 7.479406e+00 -3.222198e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
360           	((1.388264e+02 -1.406428e+01 -8.663100e+00) (7.285649e+00 -2.140015e-01 -6.313564e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.464229e+01 1.863355e+02 5.271378e+00) (1.149161e-01 7.485947e+00 -3.093351e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
361           	((1.383894e+02 -1.458152e+01 -9.017782e+00) (7.293381e+00 -2.182447e-01 -6.295689e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.515080e+01 1.857868e+02 5.441485e+00) (1.186079e-01 7.492376e+00 -2.966271e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
362           	((1.380405e+02 -1.498493e+01 -9.262195e+00) (7.301012e+00 -2.222966e-01 -6.275552e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.556212e+01 1.853509e+02 5.585337e+00) (1.220785e-01 7.498730e+00 -2.838253e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
363           	((1.378095e+02 -1.526364e+01 -9.367870e+00) (7.308408e+00 -2.261632e-01 -6.252332e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.586483e+01 1.850564e+02 5.701582e+00) (1.253126e-01 7.504898e+00 -2.713586e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
