# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
350           	((-2.131157e-01 3.974957e-01 -3.131641e+00) (2.070473e-01 1.939337e-03 -2.500527e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.795848e-01 1.855440e+00 2.618427e-01) (-4.443323e-03 3.008626e-01 6.458416e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
351           	((-3.441574e-01 3.115564e-01 -3.102296e+00) (2.072048e-01 2.177064e-03 -2.432113e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-4.676366e-01 1.663211e+00 2.093012e-01) (-4.852795e-03 3.006195e-01 2.860640e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
352           	((-4.747995e-01 2.294982e-01 -3.080224e+00) (2.074720e-01 2.352774e-03 -2.362070e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.599973e-01 1.475087e+00 1.583468e-01) (-5.167778e-03 3.005100e-01 4.592036e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
353           	((-6.060531e-01 1.522377e-01 -3.064560e+00) (2.078142e-01 2.448465e-03 -2.291344e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.578042e-01 1.289373e+00 1.095390e-01) (-5.367660e-03 3.004943e-01 5.684947e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
354           	((-7.214671e-01 7.644292e-02 -3.052336e+00) (2.082112e-01 2.420819e-03 -2.220116e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.565834e-01 1.126196e+00 6.080744e-02) (-5.393407e-03 3.005484e-01 5.846739e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
355           	((-8.216051e-01 4.008281e-03 -3.040523e+00) (2.085963e-01 2.275988e-03 -2.152770e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-5.898433e-02 9.830748e-01 1.350628e-02) (-5.256073e-03 3.006098e-01 5.076407e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
356           	((-9.045997e-01 -6.453074e-02 -3.027123e+00) (2.089422e-01 2.020688e-03 -2.091166e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.409576e-02 8.609704e-01 -3.179343e-02) (-4.964556e-03 3.006563e-01 3.420547e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
357           	((-9.694739e-01 -1.256476e-01 -3.009557e+00) (2.091399e-01 1.643957e-03 -2.034621e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.179594e-01 7.600100e-01 -7.281711e-02) (-4.505155e-03 3.005263e-01 7.631935e-05) (0.000000e+00 0.000000e+00 0.000000e+00))
358           	((-1.005835e+00 -1.765189e-01 -2.982914e+00) (2.091411e-01 1.189843e-03 -1.982392e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.887196e-01 6.912307e-01 -1.077002e-01) (-3.936113e-03 3.001514e-01 -2.568140e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
359           	((-1.017867e+00 -2.193142e-01 -2.943231e+00) (2.089515e-01 6.995166e-04 -1.931701e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.490323e-01 6.465490e-01 -1.378765e-01) (-3.317127e-03 2.995152e-01 -6.270613e-04) (0.000000e+00 0.000000e+00 0.000000e+00))
