# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
350           	((6.646987e+00 -1.882457e+00 -3.718074e+00) (2.406984e-01 -2.679839e-02 1.051606e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.708891e+00 7.191155e+00 -6.882653e-01) (2.779738e-02 1.906914e-01 -1.198768e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
351           	((6.730665e+00 -1.738286e+00 -3.850379e+00) (2.424365e-01 -2.639541e-02 1.052439e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.580732e+00 7.320084e+00 -6.308406e-01) (2.736157e-02 1.921857e-01 -1.172264e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
352           	((6.802961e+00 -1.580553e+00 -3.973228e+00) (2.440411e-01 -2.585788e-02 1.051522e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.440031e+00 7.435892e+00 -5.688833e-01) (2.679772e-02 1.936079e-01 -1.142605e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
353           	((6.853970e+00 -1.414396e+00 -4.077552e+00) (2.453808e-01 -2.517223e-02 1.048390e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.291464e+00 7.525875e+00 -5.042117e-01) (2.609615e-02 1.948493e-01 -1.109918e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
354           	((6.882367e+00 -1.244427e+00 -4.161291e+00) (2.463879e-01 -2.438177e-02 1.043313e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.139199e+00 7.587636e+00 -4.384054e-01) (2.529264e-02 1.958409e-01 -1.074958e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
355           	((6.886752e+00 -1.072394e+00 -4.223160e+00) (2.470805e-01 -2.351066e-02 1.037007e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.849540e-01 7.619052e+00 -3.719813e-01) (2.440588e-02 1.965783e-01 -1.038441e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
356           	((6.866025e+00 -8.976770e-01 -4.262185e+00) (2.474948e-01 -2.260997e-02 1.029324e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.282116e-01 7.618340e+00 -3.045745e-01) (2.348591e-02 1.970988e-01 -1.001433e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
357           	((6.826294e+00 -7.254148e-01 -4.282813e+00) (2.476193e-01 -2.168839e-02 1.020537e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.736132e-01 7.592640e+00 -2.381065e-01) (2.253994e-02 1.973854e-01 -9.645924e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
358           	((6.773788e+00 -5.573333e-01 -4.290189e+00) (2.475960e-01 -2.077314e-02 1.010579e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.226746e-01 7.549437e+00 -1.732850e-01) (2.159273e-02 1.975706e-01 -9.276311e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
359           	((6.713776e+00 -3.951744e-01 -4.288336e+00) (2.474098e-01 -1.987973e-02 9.992864e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.769651e-01 7.495106e+00 -1.109138e-01) (2.065947e-02 1.976495e-01 -8.910233e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
360           	((6.653278e+00 -2.422760e-01 -4.282260e+00) (2.470506e-01 -1.898941e-02 9.860973e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.394978e-01 7.438127e+00 -5.230221e-02) (1.972646e-02 1.976328e-01 -8.537683e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
361           	((6.596025e+00 -9.867200e-02 -4.274703e+00) (2.465469e-01 -1.813884e-02 9.711575e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.102935e-01 7.383200e+00 2.307957e-03) (1.883052e-02 1.975432e-01 -8.171564e-03) (0.000000e+00 0.000000e+00 0.000000e+00))
