# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
350           	((2.997901e+01 -1.459692e+00 9.954986e-01) (6.985721e-01 2.421936e-02 -1.063106e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.360142e+00 2.716527e+01 8.298188e-01) (-2.522112e-02 6.655582e-01 -1.505625e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
351           	((2.990501e+01 -1.266551e+00 7.695143e-01) (6.966051e-01 2.420869e-02 -1.050323e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.185755e+00 2.696146e+01 7.074915e-01) (-2.511639e-02 6.642561e-01 -1.504981e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
352           	((2.982332e+01 -1.043665e+00 4.766528e-01) (6.946736e-01 2.433662e-02 -1.036640e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.816125e-01 2.670636e+01 5.677961e-01) (-2.514693e-02 6.630276e-01 -1.509790e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
353           	((2.973851e+01 -8.101007e-01 1.373716e-01) (6.928578e-01 2.458739e-02 -1.023493e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.662706e-01 2.641888e+01 4.233181e-01) (-2.530249e-02 6.618727e-01 -1.520249e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
354           	((2.965056e+01 -5.801744e-01 -2.331522e-01) (6.913354e-01 2.496855e-02 -1.011141e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((5.527466e-01 2.610775e+01 2.826169e-01) (-2.560293e-02 6.609722e-01 -1.536668e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
355           	((2.956521e+01 -3.643980e-01 -6.191609e-01) (6.900815e-01 2.540062e-02 -1.001658e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((3.511066e-01 2.579159e+01 1.521742e-01) (-2.596659e-02 6.601829e-01 -1.555070e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
356           	((2.947945e+01 -1.751572e-01 -1.001890e+00) (6.891847e-01 2.593501e-02 -9.931522e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.732059e-01 2.547519e+01 4.011798e-02) (-2.645047e-02 6.597041e-01 -1.577809e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
357           	((2.941135e+01 -1.819726e-02 -1.349280e+00) (6.886317e-01 2.654201e-02 -9.875981e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.405861e-02 2.519752e+01 -5.079012e-02) (-2.702407e-02 6.594179e-01 -1.604858e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
358           	((2.934660e+01 9.902527e-02 -1.668896e+00) (6.884782e-01 2.720698e-02 -9.837654e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.917061e-02 2.493978e+01 -1.161200e-01) (-2.767434e-02 6.594488e-01 -1.635123e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
359           	((2.929260e+01 1.720456e-01 -1.948859e+00) (6.887097e-01 2.782998e-02 -9.831513e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.614681e-01 2.471918e+01 -1.534419e-01) (-2.829682e-02 6.597000e-01 -1.662777e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
360           	((2.924307e+01 1.930192e-01 -2.182887e+00) (6.893850e-01 2.851508e-02 -9.837875e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.851263e-01 2.453036e+01 -1.586058e-01) (-2.900349e-02 6.603454e-01 -1.693466e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
361           	((2.921190e+01 1.552578e-01 -2.352473e+00) (6.903628e-01 2.912620e-02 -9.879401e-02) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.533047e-01 2.440018e+01 -1.282821e-01) (-2.964930e-02 6.611168e-01 -1.719580e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
