# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
350           	((4.619576e+01 -1.067697e+00 1.313293e+01) (5.392885e+00 1.770894e-01 3.736906e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.661590e+00 5.806418e+01 6.627599e-01) (-3.052005e-01 6.647373e+00 1.342379e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
351           	((4.680109e+01 -1.358150e+00 1.282766e+01) (5.390126e+00 1.776849e-01 3.737610e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.971093e+00 5.899554e+01 6.170464e-01) (-3.058058e-01 6.644718e+00 1.388212e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
352           	((4.738924e+01 -1.590446e+00 1.256179e+01) (5.387317e+00 1.781354e-01 3.738848e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.204405e+00 5.990380e+01 5.772471e-01) (-3.062155e-01 6.641889e+00 1.441780e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
353           	((4.795989e+01 -1.767245e+00 1.235430e+01) (5.384576e+00 1.784201e-01 3.740861e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.365490e+00 6.078371e+01 5.451119e-01) (-3.063758e-01 6.639034e+00 1.502718e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
354           	((4.850093e+01 -1.880678e+00 1.220774e+01) (5.381852e+00 1.784595e-01 3.744521e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.442723e+00 6.161685e+01 5.221022e-01) (-3.061714e-01 6.636024e+00 1.569891e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
355           	((4.901337e+01 -1.928114e+00 1.211202e+01) (5.379321e+00 1.782519e-01 3.749721e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.431368e+00 6.240733e+01 5.079919e-01) (-3.055824e-01 6.633047e+00 1.644390e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
356           	((4.949299e+01 -1.920582e+00 1.206604e+01) (5.377040e+00 1.777640e-01 3.756895e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.342976e+00 6.314893e+01 5.026012e-01) (-3.045580e-01 6.630179e+00 1.722750e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
357           	((4.993363e+01 -1.871004e+00 1.207125e+01) (5.375045e+00 1.769521e-01 3.766405e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.195903e+00 6.382804e+01 5.054584e-01) (-3.030107e-01 6.627452e+00 1.803701e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
358           	((5.033691e+01 -1.790381e+00 1.210495e+01) (5.373387e+00 1.758545e-01 3.778362e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.004198e+00 6.444935e+01 5.170611e-01) (-3.010001e-01 6.624923e+00 1.884232e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
359           	((5.069937e+01 -1.691688e+00 1.214164e+01) (5.372122e+00 1.744511e-01 3.792731e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.786011e+00 6.501427e+01 5.345475e-01) (-2.985007e-01 6.622671e+00 1.959883e-02) (0.000000e+00 0.000000e+00 0.000000e+00))
