# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 5.000000e+01
# lRef        : 1.200000e+00
# Aref        : 5.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
350           	4.274942e-01	4.492124e-01	1.985094e-04	4.275935e-01	-4.273949e-01
351           	4.278638e-01	4.496413e-01	8.615045e-05	4.279068e-01	-4.278207e-01
352           	4.281689e-01	4.499887e-01	-9.058219e-05	4.281236e-01	-4.282142e-01
353           	4.284034e-01	4.502444e-01	-3.120966e-04	4.282473e-01	-4.285594e-01
354           	4.285247e-01	4.503646e-01	-6.066082e-04	4.282214e-01	-4.288280e-01
355           	4.285120e-01	4.503341e-01	-1.004256e-03	4.280099e-01	-4.290141e-01
356           	4.283425e-01	4.501368e-01	-1.500360e-03	4.275923e-01	-4.290927e-01
357           	4.280342e-01	4.497783e-01	-2.065508e-03	4.270014e-01	-4.290669e-01
358           	4.275622e-01	4.492551e-01	-2.703278e-03	4.262105e-01	-4.289138e-01
359           	4.269533e-01	4.485972e-01	-3.372164e-03	4.252672e-01	-4.286393e-01
360           	4.261989e-01	4.478208e-01	-4.083613e-03	4.241571e-01	-4.282408e-01
361           	4.253620e-01	4.470016e-01	-4.730951e-03	4.229965e-01	-4.277274e-01
362           	4.245017e-01	4.462379e-01	-5.293286e-03	4.218551e-01	-4.271484e-01
363           	4.236629e-01	4.455801e-01	-5.728798e-03	4.207985e-01	-4.265273e-01
364           	4.228806e-01	4.450794e-01	-6.017526e-03	4.198719e-01	-4.258894e-01
365           	4.222261e-01	4.447935e-01	-6.105824e-03	4.191731e-01	-4.252790e-01
366           	4.216943e-01	4.447219e-01	-5.980850e-03	4.187039e-01	-4.246847e-01
367           	4.213241e-01	4.448566e-01	-5.610875e-03	4.185187e-01	-4.241296e-01
368           	4.210781e-01	4.451573e-01	-5.016522e-03	4.185699e-01	-4.235864e-01
