# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
350           	((3.236614e+02 -7.960173e+00 8.615323e-01) (2.026679e+01 1.009147e-01 -7.095486e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.068886e+01 3.713293e+02 -3.290981e+00) (-3.353918e-01 2.143101e+01 -1.201624e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
351           	((3.239879e+02 -8.027830e+00 7.737532e-01) (2.026870e+01 9.605056e-02 -7.077942e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.077118e+01 3.716680e+02 -3.220101e+00) (-3.317481e-01 2.143182e+01 -1.180291e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
352           	((3.242517e+02 -7.981928e+00 6.364924e-01) (2.027089e+01 9.193038e-02 -7.058444e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.071564e+01 3.719472e+02 -3.122768e+00) (-3.286390e-01 2.143300e+01 -1.161219e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
353           	((3.244460e+02 -7.875504e+00 4.643709e-01) (2.027236e+01 8.869423e-02 -7.033199e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.057863e+01 3.721619e+02 -3.005229e+00) (-3.261334e-01 2.143367e+01 -1.145866e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
354           	((3.245364e+02 -7.661185e+00 2.362291e-01) (2.027399e+01 8.611399e-02 -7.006635e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((1.030425e+01 3.722725e+02 -2.883664e+00) (-3.240097e-01 2.143456e+01 -1.132284e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
355           	((3.245115e+02 -7.333945e+00 -7.103973e-02) (2.027550e+01 8.393526e-02 -6.978436e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.882573e+00 3.722602e+02 -2.749430e+00) (-3.220113e-01 2.143520e+01 -1.120733e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
356           	((3.243583e+02 -6.865906e+00 -4.537955e-01) (2.027771e+01 8.218361e-02 -6.949173e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((9.298925e+00 3.721031e+02 -2.614887e+00) (-3.201610e-01 2.143658e+01 -1.111561e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
357           	((3.240821e+02 -6.312499e+00 -8.896029e-01) (2.027945e+01 8.063586e-02 -6.918020e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((8.612316e+00 3.718192e+02 -2.480063e+00) (-3.182512e-01 2.143723e+01 -1.105401e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
358           	((3.236788e+02 -5.694941e+00 -1.380893e+00) (2.028207e+01 7.887889e-02 -6.888035e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.852354e+00 3.713843e+02 -2.330298e+00) (-3.159559e-01 2.143849e+01 -1.100129e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
359           	((3.231730e+02 -5.091560e+00 -1.895947e+00) (2.028424e+01 7.686591e-02 -6.858668e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((7.103073e+00 3.708243e+02 -2.149055e+00) (-3.132271e-01 2.143900e+01 -1.095689e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
360           	((3.225751e+02 -4.574591e+00 -2.443201e+00) (2.028771e+01 7.443507e-02 -6.833154e-01) (0.000000e+00 0.000000e+00 0.000000e+00)) ((6.443906e+00 3.701299e+02 -1.923199e+00) (-3.099066e-01 2.144037e+01 -1.090860e-01) (0.000000e+00 0.000000e+00 0.000000e+00))
