# Residuals   
# Time        	p             	Ux            	Uy            	Uz            	omega         	k             
0             	N/A	N/A	N/A	N/A
1             	1.000000e+00	4.409964e-02	9.724993e-02	1.144502e-01	1.272089e-01	9.999999e-01
2             	1.961272e-01	3.423096e-02	4.634232e-02	5.546170e-02	6.360537e-04	2.891194e-01
3             	1.264529e-01	2.100624e-02	3.223328e-02	3.721988e-02	6.627267e-04	1.405780e-01
4             	1.010727e-01	1.590799e-02	2.629191e-02	3.089859e-02	7.316405e-04	9.105725e-02
5             	8.648324e-02	1.325119e-02	2.318458e-02	2.753640e-02	7.511515e-04	4.042441e-02
6             	7.639518e-02	1.137714e-02	2.139275e-02	2.523381e-02	1.177016e-03	2.987706e-02
7             	6.888053e-02	9.860022e-03	1.999747e-02	2.325330e-02	1.632685e-03	3.599186e-02
8             	6.342975e-02	8.964325e-03	1.872428e-02	2.155974e-02	2.734564e-03	4.888194e-02
9             	5.992825e-02	8.405817e-03	1.755660e-02	2.019002e-02	4.527965e-03	1.392364e-02
10            	5.742623e-02	7.434807e-03	1.647407e-02	1.904120e-02	2.310116e-03	4.844225e-03
11            	5.508200e-02	6.506474e-03	1.556097e-02	1.814607e-02	1.790657e-03	2.127085e-03
12            	5.294423e-02	5.726830e-03	1.477819e-02	1.741391e-02	1.539356e-03	3.536594e-03
13            	5.127414e-02	5.101070e-03	1.411327e-02	1.682297e-02	1.506596e-03	4.437002e-03
14            	4.992926e-02	4.607738e-03	1.355101e-02	1.633786e-02	1.378314e-03	4.624290e-03
15            	4.890724e-02	4.213700e-03	1.308716e-02	1.593005e-02	1.190755e-03	4.528858e-03
16            	4.810901e-02	3.896417e-03	1.269882e-02	1.557880e-02	1.071781e-03	4.476621e-03
17            	4.745921e-02	3.640442e-03	1.236823e-02	1.526359e-02	9.972782e-04	4.379807e-03
18            	4.694350e-02	3.432798e-03	1.208292e-02	1.498410e-02	9.385212e-04	4.253270e-03
19            	4.661900e-02	3.264588e-03	1.184595e-02	1.475834e-02	8.888549e-04	4.114814e-03
20            	4.649071e-02	3.128468e-03	1.165886e-02	1.459569e-02	8.499236e-04	3.980397e-03
21            	4.652631e-02	3.018782e-03	1.152104e-02	1.449233e-02	8.429306e-04	3.865261e-03
22            	4.673412e-02	2.930426e-03	1.142048e-02	1.443389e-02	8.886503e-04	3.717134e-03
23            	4.692356e-02	2.862022e-03	1.134476e-02	1.441348e-02	8.605520e-04	3.515762e-03
24            	4.701238e-02	2.825484e-03	1.128739e-02	1.441400e-02	8.541857e-04	3.338232e-03
25            	4.713799e-02	2.792307e-03	1.123024e-02	1.441911e-02	8.544524e-04	3.211204e-03
26            	4.730031e-02	2.759162e-03	1.118490e-02	1.441705e-02	8.531453e-04	3.169945e-03
27            	4.741208e-02	2.726041e-03	1.114866e-02	1.442236e-02	8.438267e-04	3.092408e-03
28            	4.752358e-02	2.690121e-03	1.110384e-02	1.440781e-02	8.310342e-04	3.012624e-03
29            	4.773702e-02	2.653219e-03	1.105966e-02	1.438589e-02	8.613251e-04	2.955837e-03
30            	4.790166e-02	2.616921e-03	1.102049e-02	1.437135e-02	8.865177e-04	2.920517e-03
31            	4.802424e-02	2.581406e-03	1.097440e-02	1.436337e-02	9.160138e-04	2.909936e-03
32            	4.810326e-02	2.546777e-03	1.091847e-02	1.435189e-02	9.227690e-04	2.909257e-03
33            	4.819257e-02	2.515008e-03	1.087181e-02	1.435802e-02	8.699103e-04	2.891212e-03
34            	4.823974e-02	2.486840e-03	1.083524e-02	1.437222e-02	8.200189e-04	2.906506e-03
35            	4.833093e-02	2.460572e-03	1.082104e-02	1.439813e-02	7.742175e-04	2.918227e-03
36            	4.840315e-02	2.436755e-03	1.082222e-02	1.443691e-02	7.332484e-04	2.911363e-03
37            	4.853891e-02	2.415277e-03	1.082880e-02	1.447913e-02	6.975551e-04	2.898688e-03
38            	4.871039e-02	2.393745e-03	1.083812e-02	1.451212e-02	6.671821e-04	2.886587e-03
39            	4.894557e-02	2.370539e-03	1.084641e-02	1.453144e-02	6.421698e-04	2.879107e-03
40            	4.912594e-02	2.347543e-03	1.085451e-02	1.454697e-02	6.256673e-04	2.885105e-03
41            	4.926320e-02	2.323986e-03	1.085875e-02	1.455791e-02	6.359821e-04	2.902182e-03
42            	4.933609e-02	2.300271e-03	1.086314e-02	1.456541e-02	6.566148e-04	2.931775e-03
43            	4.941580e-02	2.277192e-03	1.086449e-02	1.457574e-02	6.670307e-04	2.969219e-03
44            	4.945412e-02	2.255181e-03	1.086135e-02	1.459224e-02	6.477424e-04	2.986160e-03
45            	4.948087e-02	2.234896e-03	1.085797e-02	1.460539e-02	6.259644e-04	3.006346e-03
46            	4.950597e-02	2.214057e-03	1.085345e-02	1.462014e-02	6.036230e-04	3.024001e-03
47            	4.951195e-02	2.194305e-03	1.084507e-02	1.463084e-02	5.821485e-04	3.037403e-03
48            	4.951735e-02	2.175221e-03	1.083922e-02	1.463955e-02	5.624388e-04	3.049765e-03
49            	4.948293e-02	2.157011e-03	1.083447e-02	1.465520e-02	5.454693e-04	3.059442e-03
50            	4.934817e-02	2.138082e-03	1.082232e-02	1.467752e-02	5.317527e-04	3.068638e-03
51            	4.918179e-02	2.119121e-03	1.080516e-02	1.469505e-02	5.216767e-04	3.079122e-03
52            	4.900212e-02	2.100217e-03	1.078374e-02	1.471119e-02	5.076048e-04	3.084182e-03
53            	4.887280e-02	2.080797e-03	1.075166e-02	1.472878e-02	4.992522e-04	3.089231e-03
54            	4.868275e-02	2.061058e-03	1.070786e-02	1.475130e-02	4.952207e-04	3.092322e-03
55            	4.844340e-02	2.041303e-03	1.066011e-02	1.476879e-02	4.914860e-04	3.091723e-03
56            	4.824370e-02	2.022075e-03	1.060964e-02	1.478585e-02	4.859240e-04	3.086758e-03
57            	4.807326e-02	2.003358e-03	1.055668e-02	1.480654e-02	4.782519e-04	3.079124e-03
58            	4.790113e-02	1.985553e-03	1.050665e-02	1.482788e-02	4.689667e-04	3.067830e-03
59            	4.772917e-02	1.968952e-03	1.045987e-02	1.484939e-02	4.583062e-04	3.050365e-03
60            	4.759787e-02	1.952990e-03	1.041752e-02	1.487419e-02	4.466830e-04	3.032565e-03
61            	4.754233e-02	1.938366e-03	1.037887e-02	1.489743e-02	4.345493e-04	3.011796e-03
62            	4.749243e-02	1.924724e-03	1.034334e-02	1.491796e-02	4.226152e-04	2.991018e-03
63            	4.743425e-02	1.912184e-03	1.031515e-02	1.493352e-02	4.111450e-04	2.972460e-03
64            	4.736395e-02	1.900289e-03	1.029497e-02	1.494482e-02	3.999803e-04	2.957711e-03
65            	4.732448e-02	1.888922e-03	1.027772e-02	1.495363e-02	3.890176e-04	2.945781e-03
66            	4.728567e-02	1.877518e-03	1.026118e-02	1.496221e-02	3.788653e-04	2.934561e-03
67            	4.721285e-02	1.866376e-03	1.024545e-02	1.496165e-02	3.749066e-04	2.925292e-03
68            	4.711575e-02	1.855005e-03	1.022511e-02	1.495482e-02	3.707675e-04	2.917566e-03
69            	4.701777e-02	1.842750e-03	1.020186e-02	1.494256e-02	3.651346e-04	2.913066e-03
70            	4.687048e-02	1.830075e-03	1.017188e-02	1.491243e-02	3.583666e-04	2.910607e-03
71            	4.672796e-02	1.816973e-03	1.013915e-02	1.487466e-02	3.524850e-04	2.908594e-03
72            	4.658625e-02	1.803693e-03	1.010281e-02	1.482195e-02	3.463177e-04	2.906122e-03
73            	4.644470e-02	1.790793e-03	1.006326e-02	1.476857e-02	3.398254e-04	2.901165e-03
74            	4.623264e-02	1.778509e-03	1.002060e-02	1.471568e-02	3.332064e-04	2.894819e-03
75            	4.598106e-02	1.766583e-03	9.976566e-03	1.465740e-02	3.265261e-04	2.889107e-03
76            	4.574857e-02	1.754949e-03	9.929599e-03	1.459344e-02	3.199305e-04	2.882785e-03
77            	4.552875e-02	1.743725e-03	9.884745e-03	1.451867e-02	3.136332e-04	2.877027e-03
78            	4.529828e-02	1.733144e-03	9.841689e-03	1.443129e-02	3.075892e-04	2.872285e-03
79            	4.497386e-02	1.723000e-03	9.800443e-03	1.433745e-02	3.019865e-04	2.869961e-03
80            	4.467253e-02	1.713024e-03	9.762903e-03	1.423839e-02	2.967899e-04	2.868071e-03
81            	4.435327e-02	1.702925e-03	9.727580e-03	1.413779e-02	2.920706e-04	2.866789e-03
82            	4.406367e-02	1.692948e-03	9.693754e-03	1.404329e-02	2.878248e-04	2.865227e-03
83            	4.378004e-02	1.682443e-03	9.661950e-03	1.395510e-02	2.840642e-04	2.862412e-03
84            	4.346309e-02	1.671789e-03	9.628616e-03	1.387768e-02	2.808432e-04	2.858781e-03
85            	4.314328e-02	1.661313e-03	9.594436e-03	1.380190e-02	2.781189e-04	2.857024e-03
86            	4.285227e-02	1.650697e-03	9.558647e-03	1.373205e-02	2.758496e-04	2.855677e-03
87            	4.267934e-02	1.640407e-03	9.523370e-03	1.366935e-02	2.741507e-04	2.855877e-03
88            	4.250410e-02	1.630217e-03	9.489061e-03	1.361027e-02	2.729032e-04	2.858485e-03
89            	4.230151e-02	1.620361e-03	9.454539e-03	1.355433e-02	2.721710e-04	2.864645e-03
90            	4.207986e-02	1.610876e-03	9.427266e-03	1.350288e-02	2.718631e-04	2.871705e-03
91            	4.177403e-02	1.601974e-03	9.408066e-03	1.345479e-02	2.719187e-04	2.883139e-03
92            	4.150200e-02	1.593871e-03	9.392405e-03	1.341098e-02	2.722617e-04	2.892697e-03
93            	4.125342e-02	1.586565e-03	9.381798e-03	1.336988e-02	2.729926e-04	2.901642e-03
94            	4.102662e-02	1.580036e-03	9.375774e-03	1.333308e-02	2.741378e-04	2.913271e-03
95            	4.086485e-02	1.574235e-03	9.372947e-03	1.330418e-02	2.723905e-04	2.921779e-03
96            	4.073009e-02	1.569475e-03	9.373331e-03	1.327880e-02	2.642915e-04	2.922789e-03
97            	4.061693e-02	1.564564e-03	9.377615e-03	1.325148e-02	2.561584e-04	2.929504e-03
98            	4.048928e-02	1.560745e-03	9.386463e-03	1.322676e-02	2.485735e-04	2.935405e-03
99            	4.039220e-02	1.557313e-03	9.399384e-03	1.320474e-02	2.417006e-04	2.942575e-03
100           	4.033287e-02	1.554804e-03	9.414404e-03	1.318524e-02	2.355064e-04	2.950761e-03
101           	4.033380e-02	1.553193e-03	9.434190e-03	1.317659e-02	2.299625e-04	2.960442e-03
102           	4.035332e-02	1.551890e-03	9.454596e-03	1.317457e-02	2.249347e-04	2.971341e-03
103           	4.037669e-02	1.551075e-03	9.475839e-03	1.317846e-02	2.204100e-04	2.984668e-03
104           	4.040009e-02	1.550000e-03	9.497295e-03	1.318029e-02	2.163053e-04	2.998005e-03
105           	4.041715e-02	1.548956e-03	9.515176e-03	1.318024e-02	2.125775e-04	3.011114e-03
106           	4.039359e-02	1.547471e-03	9.529579e-03	1.317598e-02	2.091497e-04	3.022729e-03
107           	4.036082e-02	1.545582e-03	9.535682e-03	1.316682e-02	2.059689e-04	3.033843e-03
108           	4.027509e-02	1.542875e-03	9.530611e-03	1.315069e-02	2.030491e-04	3.044377e-03
109           	4.015402e-02	1.539577e-03	9.520494e-03	1.313095e-02	2.004014e-04	3.053120e-03
110           	4.009352e-02	1.535979e-03	9.505106e-03	1.311355e-02	1.980918e-04	3.062236e-03
111           	4.001578e-02	1.532314e-03	9.484302e-03	1.309019e-02	1.962785e-04	3.070147e-03
112           	3.989494e-02	1.528059e-03	9.458091e-03	1.306282e-02	1.959405e-04	3.078516e-03
113           	3.975843e-02	1.523399e-03	9.425662e-03	1.303469e-02	1.958963e-04	3.087159e-03
