# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	RA	(-1.846096e+01 -8.720980e+00 -3.589284e+00)	(2.542169e-01 9.563268e+00 6.822079e+00)
0.000000e+00	RP	(-1.554275e+01 -7.508619e+00 -7.558296e+00)	(1.959902e+00 1.969632e+01 5.039863e+00)
0.000000e+00	body	(-3.599945e+01 -2.939642e+01 -2.957883e+01)	(6.323948e+00 2.809558e+01 1.030946e+01)
0.000000e+00	casco	(-1.154984e+01 -3.593112e+00 -3.813287e+00)	(3.112727e-01 3.907969e+00 3.679543e+00)
0.000000e+00	pilota	(-1.752058e+01 -1.049951e+01 -5.109063e+00)	(3.038780e+00 1.018489e+01 1.240086e+01)
0.000000e+00	ventole	(-1.375935e-01 -6.682996e-01 -7.079708e-01)	(2.019418e-01 5.069986e-01 5.317736e-02)
0.000000e+00	carena	(-1.877098e+01 -1.024888e+01 -9.522673e+00)	(1.049823e+01 9.584386e+00 1.059834e+01)
0.000000e+00	coda	(-2.037084e+01 -4.253199e+00 -1.767406e+01)	(5.350170e+00 4.126511e+00 6.757796e+00)
0.000000e+00	parafango	(-1.207310e+01 -7.665171e+00 -8.113167e+00)	(1.151936e-01 4.229426e+00 6.784531e+00)
0.000000e+00	parafPost	(-1.059132e+01 -6.443883e+00 -7.603041e+00)	(1.042324e+00 7.061868e+00 3.605250e+00)
0.000000e+00	muri	(-1.131439e+01 -4.391626e+00 -6.436577e-01)	(-2.209905e-01 5.459888e+00 7.674427e-01)
1.000000e+02	RA	(-5.588751e+01 -1.975011e+01 -1.025966e+01)	(1.823983e+01 4.573901e+01 5.704624e+01)
1.000000e+02	RP	(-3.771324e+01 -1.511365e+01 -2.067510e+01)	(7.715162e+00 2.015148e+01 1.916685e+01)
1.000000e+02	body	(-5.236466e+01 -2.210758e+01 -1.333343e+01)	(1.062145e+01 2.912959e+01 2.253041e+01)
1.000000e+02	casco	(-1.987740e+01 -6.176581e+00 -7.335795e+00)	(6.066533e+00 5.583249e+00 9.217739e+00)
1.000000e+02	pilota	(-2.844378e+01 -1.648309e+01 -1.145619e+01)	(7.965161e+00 1.061178e+01 1.127740e+01)
1.000000e+02	ventole	(-1.649802e-01 -7.043080e-01 -2.310237e-01)	(1.610881e-01 3.818350e-01 2.713063e-01)
1.000000e+02	carena	(-2.830088e+01 -1.456072e+01 -1.077084e+01)	(1.683507e+01 1.641216e+01 1.944241e+01)
1.000000e+02	coda	(-8.770310e+00 -8.232894e+00 -5.256396e+00)	(3.147928e+00 7.008845e+00 9.537097e+00)
1.000000e+02	parafango	(-3.451893e+01 -6.324851e+00 -4.236095e+00)	(5.589931e+00 2.115670e+01 1.114934e+01)
1.000000e+02	parafPost	(-1.377501e+01 -5.868806e+00 -7.099316e+00)	(3.861908e+00 6.325991e+00 7.846794e+00)
1.000000e+02	muri	(-1.447930e+01 -5.096790e+00 -1.677625e+00)	(1.108646e+00 4.333577e+00 3.121133e+00)
2.000000e+02	RA	(-7.072543e+01 -3.042972e+01 -8.215247e+00)	(3.116262e+01 5.429791e+01 3.004103e+01)
2.000000e+02	RP	(-1.796458e+01 -9.824354e+00 -6.999761e+00)	(3.065868e+00 3.253040e+00 1.107998e+01)
2.000000e+02	body	(-4.191335e+01 -2.716814e+01 -1.407968e+01)	(7.615957e+00 3.622080e+01 3.641674e+01)
2.000000e+02	casco	(-2.199168e+01 -6.018472e+00 -7.304477e+00)	(4.073384e+00 7.428456e+00 8.668567e+00)
2.000000e+02	pilota	(-2.333013e+01 -1.421130e+01 -9.660829e+00)	(2.891268e+00 9.698232e+00 1.101242e+01)
2.000000e+02	ventole	(-4.293994e-02 -2.037146e-01 -7.617825e-02)	(4.646572e-02 2.515065e-01 8.610572e-02)
2.000000e+02	carena	(-2.666153e+01 -2.157293e+01 -6.048312e+00)	(1.560430e+01 1.725300e+01 1.751072e+01)
2.000000e+02	coda	(-1.112386e+01 -8.688693e+00 -5.212951e+00)	(2.251872e+00 4.401293e+01 1.465943e+01)
2.000000e+02	parafango	(-3.391196e+01 -6.037430e+00 -4.237985e+00)	(5.203216e+00 2.056851e+01 1.210062e+01)
2.000000e+02	parafPost	(-9.651911e+00 -4.804626e+00 -5.864241e+00)	(2.776485e+00 3.932707e+00 5.670924e+00)
2.000000e+02	muri	(-1.172127e+01 -4.582041e+00 -1.225056e+00)	(1.033248e+00 4.011972e+00 3.076010e+00)
