# y+ ()       
# Time        	patch         	min           	max           	average       
0             	RA	2.144074e+00	9.211037e+01	1.365437e+01
0             	RP	2.064815e+00	9.238916e+01	1.347892e+01
0             	body	1.668608e+00	1.530125e+02	1.421778e+01
0             	casco	2.668748e+00	1.124558e+02	1.474933e+01
0             	pilota	2.155243e+00	1.388557e+02	8.969381e+00
0             	ventole	2.928544e+00	6.107494e+01	1.466444e+01
0             	carena	1.831877e+00	1.090408e+02	9.441694e+00
0             	coda	1.799230e+00	1.316074e+02	1.293131e+01
0             	parafango	1.694533e+00	9.931765e+01	1.624245e+01
0             	parafPost	2.049188e+00	9.969630e+01	1.652702e+01
0             	muri	2.214087e+00	4.605429e+01	5.094810e+00
100           	RA	5.746526e+00	8.972183e+02	7.255172e+01
100           	RP	5.479591e-01	8.020343e+02	5.923152e+01
100           	body	1.167503e-07	1.259456e+03	6.591858e+01
100           	casco	4.381322e+00	1.220888e+03	9.100172e+01
100           	pilota	7.336094e-01	1.011597e+03	5.310975e+01
100           	ventole	2.693795e+00	1.942194e+02	2.572402e+01
100           	carena	6.124056e-01	1.084026e+03	4.610243e+01
100           	coda	2.980895e-05	5.502359e+02	3.026270e+01
100           	parafango	1.639625e+00	6.872124e+02	7.428933e+01
100           	parafPost	1.806292e+00	7.057979e+02	7.653121e+01
100           	muri	1.273915e+00	3.054293e+02	2.773746e+01
200           	RA	5.594306e+00	8.983287e+02	7.389959e+01
200           	RP	2.391035e-01	5.185526e+02	4.361851e+01
200           	body	1.350233e-07	1.070246e+03	6.116426e+01
200           	casco	2.055324e+00	1.144394e+03	8.672875e+01
200           	pilota	7.175033e-02	1.329660e+03	4.895991e+01
200           	ventole	4.742766e-01	1.077460e+02	1.253037e+01
200           	carena	3.005754e-01	1.236145e+03	4.475084e+01
200           	coda	9.447194e-05	7.170384e+02	2.919893e+01
200           	parafango	1.819341e+00	6.090518e+02	7.278990e+01
200           	parafPost	1.747860e+00	9.837801e+02	7.918730e+01
200           	muri	4.952769e-01	2.341617e+02	2.656226e+01
300           	RA	4.151104e+00	9.536678e+02	7.408593e+01
300           	RP	9.278036e-02	7.447997e+02	4.127649e+01
300           	body	1.167503e-07	1.118065e+03	5.962150e+01
300           	casco	2.096886e+00	1.188493e+03	8.243338e+01
300           	pilota	5.542154e-02	1.394905e+03	4.534280e+01
